N,x,y,z,d,varx,vary,varz,vard,distance
2800,-9.97951,0.361096,9.84153,0.00843625,0.468579,1.74283,1.31769,0.000977147,0.211725
2800,-9.79918,0.870746,10.2673,0.021167,0.232686,0.640222,0.317473,0.00218326,0.499225
2800,-9.82572,0.915866,10.2508,0.030198,0.149302,0.334557,0.208162,0.00324053,0.515944
2800,-9.86401,0.903082,10.2127,0.0381661,0.11277,0.24086,0.166345,0.00447251,0.475602
2800,-9.8898,0.881588,10.1837,0.0453128,0.0920564,0.192345,0.140403,0.00520534,0.437592
2900,-9.70329,0.702421,10.3585,0.00728163,0.266889,1.57279,0.52814,0.00087437,0.507456
2900,-9.74356,0.65993,10.2853,0.016879,0.111119,0.866183,0.125677,0.00177585,0.415583
2900,-9.81929,0.635621,10.2124,0.0260296,0.0717401,0.513692,0.0821689,0.00264201,0.310117
2900,-9.87429,0.620342,10.1562,0.0393625,0.0536433,0.303518,0.0667232,0.00414416,0.233824
2900,-9.9068,0.603886,10.1194,0.0446007,0.0448112,0.198985,0.0588442,0.00502919,0.183698
3000,-9.99894,0.540136,9.93374,0.00809551,0.250877,1.43691,0.658163,0.000958611,0.077474
3000,-10.0337,0.907957,10.0289,0.0228659,0.086282,0.262186,0.137392,0.00232381,0.410369
3000,-10.015,0.864114,10.0442,0.0333856,0.0530163,0.160213,0.0797099,0.00358451,0.367089
3000,-10.0058,0.81487,10.0495,0.0410938,0.0422286,0.129892,0.0610821,0.00490105,0.318795
3000,-10.0032,0.775114,10.0496,0.0487553,0.0367956,0.115214,0.0534172,0.00621077,0.279569
3100,-9.90229,0.329651,9.94405,0.00618344,0.316021,1.06495,1.04497,0.000891041,0.204196
3100,-9.90301,0.273943,10.0352,0.0185563,0.168659,0.392334,0.290084,0.00194732,0.248495
3100,-9.94088,0.30301,10.0146,0.028402,0.118843,0.199405,0.194444,0.0031587,0.206184
3100,-9.94912,0.344438,10.0209,0.0371721,0.0897916,0.139869,0.144992,0.0042459,0.165
3100,-9.9533,0.377455,10.0232,0.0459839,0.0722063,0.114094,0.114807,0.00552596,0.133182
3200,-9.65607,-0.913336,10.1834,0.00944203,0.318293,0.962252,1.30893,0.00111498,1.46609
3200,-9.67487,-0.488572,10.1875,0.0234587,0.151888,0.447185,0.258853,0.0023576,1.05742
3200,-9.76169,-0.110907,10.1751,0.0345313,0.0986021,0.391139,0.14309,0.00384057,0.678716
3200,-9.8256,0.142466,10.1531,0.041804,0.0672823,0.300144,0.0968286,0.00506344,0.426243
3200,-9.86528,0.284871,10.1316,0.0517971,0.0497194,0.218688,0.0718991,0.00679848,0.285911
3300,-9.97715,0.809849,9.87828,0.0049419,0.266193,2.51196,0.788628,0.000801007,0.333683
3300,-9.90439,0.730239,10.0677,0.0172697,0.119112,0.747897,0.167925,0.00174821,0.258326
3300,-9.87388,0.562678,10.1096,0.0271125,0.0697204,0.313758,0.0946557,0.00306531,0.178433
3300,-9.87776,0.517186,10.1215,0.0360937,0.0538926,0.173966,0.0713052,0.00408388,0.173177
3300,-9.89103,0.503501,10.1143,0.0430011,0.045899,0.129473,0.0586663,0.00520934,0.157982
3400,-9.91828,0.837541,10.0942,0.00742529,0.321169,0.698042,0.909606,0.000911245,0.359832
3400,-9.91062,0.830094,10.1463,0.0200102,0.152193,0.191318,0.251789,0.00208073,0.371942
3400,-9.91468,0.81412,10.1502,0.0315081,0.0945325,0.133176,0.149492,0.00342827,0.358482
3400,-9.92069,0.792238,10.1395,0.0403415,0.0709314,0.110164,0.109234,0.0045847,0.333393
3400,-9.92851,0.771594,10.1297,0.0485445,0.057143,0.0989675,0.0892418,0.0059036,0.309347
3500,-9.73236,0.026734,10.4667,0.0102303,0.291355,0.808404,0.918052,0.00108512,0.716525
3500,-9.73733,0.34722,10.3585,0.0223922,0.0741171,0.244763,0.125194,0.00236883,0.469925
3500,-9.7694,0.401855,10.3013,0.0330404,0.046746,0.159927,0.0754586,0.00367823,0.391894
3500,-9.79625,0.418458,10.256,0.0442465,0.0388873,0.127259,0.0613685,0.0052319,0.337216
3500,-9.81662,0.429058,10.2233,0.0526963,0.0349758,0.110095,0.0523719,0.00661658,0.297529
3600,-9.93494,0.42941,9.96726,0.00738979,0.150339,1.38419,0.430617,0.000980343,0.101428
3600,-9.97931,0.442948,9.97927,0.0176442,0.0692032,0.48056,0.154402,0.00189713,0.0641307
3600,-9.97872,0.44166,9.99278,0.0274321,0.0492873,0.246425,0.0968319,0.00298516,0.0625194
3600,-9.98215,0.441419,9.99922,0.0353508,0.0405056,0.173544,0.0735758,0.00385285,0.061246
3600,-9.98178,0.437599,10.0023,0.0434497,0.0360648,0.138242,0.0620766,0.00505667,0.0650446
3700,-10.0418,0.787166,9.86093,0.00781249,0.44042,1.46959,1.14382,0.000991844,0.321792
3700,-10.208,0.950923,9.74661,0.0205532,0.188292,0.371538,0.259267,0.00207935,0.557511
3700,-10.1779,0.900666,9.80756,0.0312077,0.121913,0.206278,0.175925,0.00341061,0.478757
3700,-10.1438,0.84074,9.85157,0.0419507,0.0920791,0.157005,0.137117,0.00472931,0.398501
3700,-10.118,0.790722,9.88049,0.050693,0.0728088,0.136496,0.11283,0.0063423,0.335741
3800,-10.0196,0.854519,9.91165,0.00676303,0.386709,1.0742,1.17932,0.000899146,0.365886
3800,-9.98174,0.814889,10.0385,0.0180432,0.173041,0.35283,0.294753,0.00194329,0.317764
3800,-9.9662,0.778345,10.0682,0.027936,0.103923,0.183841,0.165397,0.00322753,0.288554
3800,-9.96123,0.742603,10.085,0.0397612,0.0715845,0.130012,0.113029,0.00458485,0.25997
3800,-9.96121,0.710019,10.083,0.0473116,0.0552436,0.108453,0.0869088,0.00594772,0.229148
3900,-9.95457,0.371902,9.96084,0.00670676,0.368703,1.1613,1.07816,0.000926506,0.141445
3900,-9.87179,0.748035,10.2061,0.0195694,0.160515,0.499381,0.281198,0.0020436,0.347018
3900,-9.86362,0.785544,10.2249,0.0306709,0.0900518,0.311592,0.140287,0.00330063,0.38825
3900,-9.8721,0.753936,10.2077,0.0399455,0.0639659,0.226178,0.0930193,0.00451264,0.352096
3900,-9.88422,0.716672,10.1817,0.0469832,0.0506124,0.17714,0.0749602,0.00567733,0.305577
4000,-9.7279,-0.171266,10.3223,0.00838009,0.272097,0.934251,0.638901,0.000972156,0.792773
4000,-9.71092,-0.00594657,10.2926,0.0199261,0.11546,0.355654,0.173847,0.00208733,0.652063
4000,-9.70956,0.0699498,10.2883,0.0282001,0.0688747,0.206146,0.0979883,0.00300578,0.593646
4000,-9.73691,0.127458,10.2695,0.0372586,0.0527199,0.155295,0.073926,0.00425838,0.529733
4000,-9.76403,0.179836,10.2395,0.0441547,0.0458599,0.132623,0.064608,0.00515289,0.464274
4100,-9.87618,0.348184,10.1014,0.00940985,0.217395,1.11602,0.53212,0.00101916,0.2206
4100,-9.96832,0.32413,9.97614,0.0213757,0.125948,0.536461,0.194671,0.00228183,0.180287
4100,-10.005,0.364775,9.94339,0.0321845,0.0841973,0.36638,0.12758,0.00356259,0.146682
4100,-10.0212,0.405059,9.94012,0.0416755,0.0653301,0.275974,0.0972548,0.00491752,0.114233
4100,-10.0226,0.420474,9.94239,0.0500332,0.0536945,0.223088,0.0801115,0.0065092,0.100778
4200,-9.95547,0.513322,9.93121,0.008992,0.339352,1.3061,1.05664,0.00105631,0.083019
4200,-10.021,0.667845,9.95766,0.0219271,0.154193,0.793016,0.289253,0.00235064,0.174372
4200,-10.0307,0.727603,9.97383,0.0313217,0.10708,0.493212,0.178618,0.00354378,0.231147
4200,-10.0297,0.744776,9.98774,0.0406041,0.0822951,0.329894,0.132207,0.00482486,0.246874
4200,-10.0294,0.743457,9.99592,0.0467531,0.0657687,0.238894,0.105875,0.00611162,0.245258
4300,-9.86994,0.30507,10.0216,0.0114984,0.270543,0.993718,0.881471,0.00123973,0.235335
4300,-9.77585,0.422757,10.2251,0.0227266,0.127625,0.486295,0.227591,0.00231087,0.326902
4300,-9.79125,0.49428,10.2342,0.0320747,0.0829377,0.303273,0.140241,0.00344827,0.313755
4300,-9.81691,0.52715,10.2134,0.0405628,0.0654389,0.21561,0.105247,0.00467531,0.282474
4300,-9.84317,0.543436,10.1905,0.0488791,0.0534929,0.166663,0.0887029,0.00592286,0.250511
4400,-9.93915,0.323867,10.0403,0.00804535,0.251748,1.28095,0.721213,0.0010538,0.190649
4400,-9.97455,0.234976,9.98885,0.0183954,0.088273,0.272041,0.127162,0.00190813,0.266477
4400,-9.984,0.276989,9.98804,0.0276467,0.0611153,0.171657,0.0833822,0.00305063,0.223904
4400,-9.98774,0.315936,9.98645,0.0369009,0.0494827,0.134538,0.069704,0.00416649,0.184969
4400,-9.9899,0.34746,9.98653,0.0458987,0.043293,0.112252,0.0597363,0.00546799,0.153466
4500,-10.0623,1.28227,9.94765,0.0066358,0.40781,1.04156,1.01346,0.0008834,0.786493
4500,-10.1885,1.06857,9.80651,0.0222666,0.169305,0.429512,0.263863,0.00221436,0.62949
4500,-10.1551,0.899291,9.84295,0.0351801,0.104486,0.312192,0.15847,0.00380465,0.456235
4500,-10.1203,0.781981,9.87467,0.0464251,0.0728779,0.250917,0.11475,0.00550827,0.331204
4500,-10.0949,0.694464,9.89781,0.0567782,0.0587012,0.205418,0.0885777,0.00716036,0.239289
4600,-9.79218,0.688552,10.3773,0.00923278,0.307571,1.1184,0.891888,0.00107695,0.470186
4600,-9.94825,0.771593,10.1064,0.0218065,0.165075,0.507022,0.21042,0.00214451,0.296253
4600,-9.98879,0.714215,10.0537,0.0293852,0.11772,0.335102,0.147359,0.00323396,0.22113
4600,-10.0017,0.666482,10.0241,0.039571,0.0905061,0.247009,0.114933,0.00459977,0.168228
4600,-10.0102,0.639717,10.0088,0.0492673,0.0711567,0.19411,0.0932656,0.00582857,0.14036
4700,-9.83213,0.585158,10.2682,0.0065858,0.270567,1.1731,0.639298,0.000940139,0.327687
4700,-9.8886,0.567752,10.1561,0.0201299,0.127537,0.617338,0.189008,0.00217065,0.203379
4700,-9.89422,0.460561,10.1264,0.0323475,0.0794842,0.424563,0.122127,0.00337836,0.169479
4700,-9.8999,0.404474,10.112,0.0409667,0.0578632,0.311958,0.093202,0.004814,0.178018
4700,-9.90381,0.376024,10.0983,0.0518662,0.048187,0.237468,0.0795734,0.00662122,0.185178
4800,-10.1505,0.196123,9.54953,0.00726985,0.213173,1.05489,0.628117,0.000931118,0.563845
4800,-10.054,0.338946,9.86988,0.0188423,0.109325,0.366576,0.199999,0.00196042,0.213969
4800,-10.0299,0.383632,9.91917,0.0275808,0.0753582,0.262215,0.139091,0.00304766,0.144808
4800,-10.0197,0.419882,9.94477,0.0376178,0.0594518,0.21419,0.110035,0.00429714,0.0992854
4800,-10.0122,0.436616,9.96269,0.0466744,0.049935,0.180717,0.0912199,0.00571845,0.0745596
4900,-9.89425,0.351183,10.0233,0.00818893,0.217743,1.50064,0.742612,0.00103099,0.184049
4900,-9.97872,0.350155,9.94203,0.020289,0.108974,0.591355,0.185857,0.00200304,0.162072
4900,-10.0176,0.423575,9.92075,0.0319171,0.0776663,0.323992,0.113111,0.0033869,0.111502
4900,-10.0413,0.473521,9.91171,0.0415623,0.0613252,0.221935,0.0875175,0.00478126,0.101014
4900,-10.0505,0.506491,9.91079,0.0498214,0.052087,0.163313,0.0738601,0.00602075,0.102727
5000,-9.94517,0.716457,10.0634,0.00753124,0.207867,1.04083,0.54312,0.000933862,0.232122
5000,-9.96342,0.673966,10.0469,0.0201888,0.101229,0.400106,0.159494,0.00208322,0.183861
5000,-9.98233,0.597147,10.0218,0.0303274,0.0707291,0.27565,0.107691,0.00340898,0.101122
5000,-9.9944,0.559577,10.0074,0.0420466,0.056347,0.214863,0.0864786,0.00488939,0.0602912
5000,-10,0.533284,9.99497,0.0516748,0.0466628,0.169203,0.0709677,0.00630779,0.0336615
5100,-9.86408,-0.0750007,9.97215,0.00834003,0.258709,1.00376,1.08121,0.000996412,0.591502
5100,-9.93891,0.217387,9.99125,0.0217076,0.0780469,0.361451,0.152752,0.00222222,0.289274
5100,-9.96584,0.284342,9.97711,0.03139,0.0516505,0.213495,0.0962529,0.00345449,0.219543
5100,-9.97601,0.323135,9.97104,0.0418573,0.0420729,0.140821,0.0731347,0.00493176,0.180819
5100,-9.98325,0.345809,9.97494,0.0498414,0.0380671,0.108061,0.0608562,0.00623113,0.157109
5200,-9.78951,0.349093,10.2404,0.00964393,0.149526,1.21354,0.513854,0.00110932,0.353383
5200,-9.82467,0.405834,10.1993,0.021609,0.0694908,0.47952,0.11162,0.00223482,0.281674
5200,-9.85751,0.436223,10.1677,0.0303648,0.0544235,0.318137,0.0768981,0.00327584,0.229086
5200,-9.88438,0.455028,10.1393,0.040062,0.0484047,0.24388,0.0642884,0.00466612,0.186505
5200,-9.90671,0.473989,10.1149,0.0482141,0.0431241,0.198196,0.0570345,0.00602987,0.150235
5300,-9.96734,0.902957,10.0486,0.00894764,0.338606,0.90673,0.94713,0.000991469,0.407184
5300,-10.0456,0.894846,9.98969,0.0204858,0.172087,0.383216,0.277862,0.00213205,0.397599
5300,-10.0704,0.840366,9.9584,0.0306045,0.112013,0.255022,0.168999,0.00329964,0.350049
5300,-10.0705,0.788233,9.95614,0.0404787,0.0818805,0.197801,0.121813,0.00456492,0.299945
5300,-10.0598,0.745409,9.96076,0.0486561,0.065783,0.164982,0.0977711,0.00597163,0.255616
5400,-9.94834,0.527435,9.94477,0.00809243,0.284174,2.12634,0.678994,0.0010373,0.0804452
5400,-10.1308,0.561075,9.80589,0.0204238,0.077623,0.580467,0.125584,0.00212789,0.241916
5400,-10.1337,0.656499,9.83842,0.0303637,0.0506485,0.244212,0.0833804,0.00343973,0.261669
5400,-10.122,0.682551,9.86646,0.0392439,0.0409505,0.145979,0.0691027,0.00461423,0.256988
